Country,Country Name,Year,Percent of Active Personnel,Total Deployed
POL,Poland,2018,1.0,1189
ROU,Romania,2018,1.6,1111
SVN,Slovenia,2018,4.8,345
ESP,Spain,2018,1.6,1956
TUR,Turkey,2018,0.3,1160
GBR,United Kingdom,2018,3.2,4791
DEU,Germany,2018,1.9,3421
ITA,Italy,2018,2.8,4813
LVA,Latvia,2018,1.1,66
LTU,Lithuania,2018,0.7,136
LUX,Luxembourg,2018,3.0,27
BEL,Belgium,2018,1.9,512
EST,Estonia,2018,2.3,154
HUN,Hungary,2018,3.1,871
PRT,Portugal,2018,1.7,464
AUS,Australia,2018,2.8,1613
HRV,Croatia,2018,3.2,485
DNK,Denmark,2018,4.4,642
KOR,Republic of Korea,2018,0.1,623
MNE,Montenegro,2018,1.3,26
NZL,New Zealand,2018,2.3,205
NOR,Norway,2018,1.1,264
USA,United States,2018,2.0,27551
JPN,Japan,2018,0.0,4
CAN,Canada,2019,1.8,1184
SVK,Slovakia,2019,3.2,510
ALB,Albania,2019,2.4,192
BGR,Bulgaria,2019,0.5,197
CZE,Czech Republic,2019,2.9,655
FRA,France,2019,2.7,5494
GRC,Greece,2019,0.2,272
MKD,Republic of Macedonia,2019,0.6,52
NLD,Netherlands,2019,1.4,501
POL,Poland,2019,1.1,1376
ROU,Romania,2019,1.6,1115
SVN,Slovenia,2019,4.5,326
ESP,Spain,2019,1.7,2102
TUR,Turkey,2019,0.3,1189
GBR,United Kingdom,2019,2.5,3700
DEU,Germany,2019,1.8,3200
ITA,Italy,2019,2.6,4283
LVA,Latvia,2019,0.8,58
LTU,Lithuania,2019,0.6,133
LUX,Luxembourg,2019,0.4,4
BEL,Belgium,2019,1.7,447
EST,Estonia,2019,1.9,124
HUN,Hungary,2019,3.0,842
PRT,Portugal,2019,1.8,501
AUS,Australia,2019,2.6,1495
HRV,Croatia,2019,1.6,245
DNK,Denmark,2019,3.1,446
KOR,Republic of Korea,2019,0.1,613
MNE,Montenegro,2019,1.7,41
NZL,New Zealand,2019,1.8,172
NOR,Norway,2019,1.8,430
USA,United States,2019,1.9,25996
JPN,Japan,2019,0.0,4
CAN,Canada,2020,2.0,1319
SVK,Slovakia,2020,3.1,497
ALB,Albania,2020,1.9,154
BGR,Bulgaria,2020,0.5,199
CZE,Czech Republic,2020,1.6,407
FRA,France,2020,3.0,6027
GRC,Greece,2020,0.2,277
MKD,Republic of Macedonia,2020,0.7,56
NLD,Netherlands,2020,1.7,506
POL,Poland,2020,1.3,1507
ROU,Romania,2020,1.6,1112
SVN,Slovenia,2020,4.4,309
ESP,Spain,2020,1.7,2028
TUR,Turkey,2020,1.2,4236
GBR,United Kingdom,2020,2.2,3226
DEU,Germany,2020,1.6,2964
ITA,Italy,2020,2.8,4684
LVA,Latvia,2020,0.5,28
LTU,Lithuania,2020,0.5,108
LUX,Luxembourg,2020,2.4,10
BEL,Belgium,2020,1.0,253
EST,Estonia,2020,2.4,172
HUN,Hungary,2020,2.6,721
PRT,Portugal,2020,1.9,531
AUS,Australia,2020,1.5,864
HRV,Croatia,2020,1.4,213
DNK,Denmark,2020,4.1,624
KOR,Republic of Korea,2020,0.1,692
MNE,Montenegro,2020,1.7,39
NZL,New Zealand,2020,1.8,166
NOR,Norway,2020,1.4,335
USA,United States,2020,0.9,12515
JPN,Japan,2020,0.0,6
CAN,Canada,2021,1.8,1227
SVK,Slovakia,2021,2.5,440
ALB,Albania,2021,0.7,53
BGR,Bulgaria,2021,0.1,44
CZE,Czech Republic,2021,1.3,348
FRA,France,2021,3.5,7203
GRC,Greece,2021,0.2,234
MKD,Republic of Macedonia,2021,0.9,74
NLD,Netherlands,2021,1.3,450
POL,Poland,2021,1.1,1244
ROU,Romania,2021,0.3,244
SVN,Slovenia,2021,4.1,285
ESP,Spain,2021,1.6,2022
TUR,Turkey,2021,0.2,762
GBR,United Kingdom,2021,2.2,3416
DEU,Germany,2021,0.9,1619
ITA,Italy,2021,3.0,4786
LVA,Latvia,2021,1.6,139
LTU,Lithuania,2021,0.4,82
LUX,Luxembourg,2021,5.4,22
BEL,Belgium,2021,1.9,474
EST,Estonia,2021,2.0,141
HUN,Hungary,2021,2.5,857
PRT,Portugal,2021,2.3,626
AUS,Australia,2021,1.1,665
HRV,Croatia,2021,1.5,250
DNK,Denmark,2021,2.6,407
KOR,Republic of Korea,2021,0.1,542
MNE,Montenegro,2021,0.6,15
NZL,New Zealand,2021,0.5,45
NOR,Norway,2021,1.3,321
USA,United States,2021,0.8,10983
JPN,Japan,2021,0.0,4
